TLC	Stat_code	TLD	TLE	TLF	TLG	TLH	TLI	TLJ	TLK	TLL	TLM	TLN
E06000001		E06000006	E06000010	E06000015	E06000019	E06000031	E09000002	E06000035	E06000022	W06000001	S12000005	N09000001
E06000002		E06000007	E06000011	E06000016	E06000020	E06000032	E09000003	E06000036	E06000023	W06000002	S12000006	N09000002
E06000003		E06000008	E06000012	E06000017	E06000021	E06000033	E09000004	E06000037	E06000024	W06000003	S12000008	N09000003
E06000004		E06000009	E06000013	E06000018	E06000051	E06000034	E09000005	E06000038	E06000025	W06000004	S12000010	N09000004
E06000005		E06000049	E06000014	E06000061	E07000095	E06000055	E09000006	E06000039	E06000026	W06000005	S12000011	N09000005
E06000047		E06000050	E07000163	E06000062	E07000096	E06000056	E09000007	E06000040	E06000027	W06000006	S12000013	N09000006
E06000057		E07000117	E07000164	E07000032	E07000098	E07000008	E09000008	E06000041	E06000030	W06000008	S12000014	N09000007
E07000026		E07000118	E07000165	E07000033	E07000099	E07000009	E09000009	E06000042	E06000052	W06000009	S12000017	N09000008
E07000027		E07000119	E07000166	E07000034	E07000102	E07000010	E09000010	E06000043	E06000054	W06000010	S12000018	N09000009
E07000028		E07000120	E07000167	E07000035	E07000103	E07000011	E09000011	E06000044	E06000058	W06000011	S12000019	N09000010
E07000029		E07000121	E07000168	E07000036	E07000192	E07000012	E09000012	E06000045	E06000059	W06000012	S12000020	N09000011
E07000030		E07000122	E07000169	E07000037	E07000193	E07000066	E09000013	E06000046	E07000040	W06000013	S12000021	N92000002
E07000031		E07000123	E08000016	E07000038	E07000194	E07000067	E09000014	E06000060	E07000041	W06000014	S12000023	
E08000021		E07000124	E08000017	E07000039	E07000195	E07000068	E09000015	E07000061	E07000042	W06000015	S12000026	
E08000022		E07000125	E08000018	E07000129	E07000196	E07000069	E09000016	E07000062	E07000043	W06000016	S12000027	
E08000023		E07000126	E08000019	E07000130	E07000197	E07000070	E09000017	E07000063	E07000044	W06000018	S12000028	
E08000024		E07000127	E08000032	E07000131	E07000198	E07000071	E09000018	E07000064	E07000045	W06000019	S12000029	
E08000037		E07000128	E08000033	E07000132	E07000199	E07000072	E09000019	E07000065	E07000046	W06000020	S12000030	
E10000023		E08000001	E08000034	E07000133	E07000218	E07000073	E09000020	E07000084	E07000047	W06000021	S12000033	
E11000007		E08000002	E08000035	E07000134	E07000219	E07000074	E09000021	E07000085	E07000078	W06000022	S12000034	
E12000001		E08000003	E08000036	E07000135	E07000220	E07000075	E09000022	E07000086	E07000079	W06000023	S12000035	
E47000006		E08000004	E11000003	E07000136	E07000221	E07000076	E09000023	E07000087	E07000080	W06000024	S12000036	
E47000010		E08000005	E11000006	E07000137	E07000222	E07000077	E09000024	E07000088	E07000081	W11000023	S12000038	
E47000011		E08000006	E12000003	E07000138	E07000234	E07000143	E09000025	E07000089	E07000082	W11000024	S12000039	
		E08000007	E47000002	E07000139	E07000235	E07000144	E09000026	E07000090	E07000083	W11000025	S12000040	
		E08000008	E47000003	E07000140	E07000236	E07000145	E09000027	E07000091	E07000187	W11000028	S12000041	
		E08000009		E07000141	E07000237	E07000146	E09000028	E07000092	E07000188	W11000029	S12000042	
		E08000010		E07000142	E07000238	E07000147	E09000029	E07000093	E07000189	W11000030	S12000045	
		E08000011		E07000170	E07000239	E07000148	E09000030	E07000094	E07000246	W11000031	S12000047	
		E08000012		E07000171	E07000240	E07000149	E09000031	E07000105	E10000008	W92000004	S12000048	
		E08000013		E07000172	E07000241	E07000200	E09000032	E07000106	E10000013		S12000049	
		E08000014		E07000173	E07000242	E07000202	E09000033	E07000107	E10000027		S12000050	
		E08000015		E07000174	E08000025	E07000203	E12000007	E07000108	E12000009		S92000003	
		E10000006		E07000175	E08000026	E07000243		E07000109				
		E10000017		E07000176	E08000027	E07000244		E07000110				
		E11000001		E10000007	E08000028	E07000245		E07000111				
		E11000002		E10000018	E08000029	E10000003		E07000112				
		E12000002		E10000019	E08000030	E10000012		E07000113				
		E47000001		E10000024	E08000031	E10000020		E07000114				
		E47000004		E12000004	E10000015	E10000029		E07000115				
					E10000028	E12000006		E07000116				
					E10000031	E47000008		E07000177				
					E10000034			E07000178				
					E11000005			E07000179				
					E12000005			E07000180				
					E47000007			E07000181				
								E07000207				
								E07000208				
								E07000209				
								E07000210				
								E07000211				
								E07000212				
								E07000213				
								E07000214				
								E07000215				
								E07000216				
								E07000217				
								E07000223				
								E07000224				
								E07000225				
								E07000226				
								E07000227				
								E07000228				
								E07000229				
								E10000011				
								E10000014				
								E10000016				
								E10000025				
								E10000030				
								E10000032				
								E12000008				
